TSDate,serieNames,sales
2014-05-14,serie_1,2788.0
2014-05-14,serie_2,919.0
2014-05-15,serie_1,2738.0
2014-05-15,serie_2,920.0
2014-05-16,serie_1,2154.0
2014-05-16,serie_2,745.0
2014-05-17,serie_1,1035.0
2014-05-17,serie_2,363.0
2014-05-18,serie_1,2469.0
2014-05-18,serie_2,799.0
2014-05-19,serie_1,2997.0
2014-05-19,serie_2,1027.0
2014-05-20,serie_1,2417.0
2014-05-20,serie_2,834.0
2014-05-21,serie_1,2662.0
2014-05-21,serie_2,903.0
2014-05-22,serie_1,2593.0
2014-05-22,serie_2,876.0
2014-05-23,serie_1,2099.0
2014-05-23,serie_2,706.0
2014-05-24,serie_1,630.0
2014-05-24,serie_2,218.0
2014-05-25,serie_1,2470.0
2014-05-25,serie_2,878.0
2014-05-26,serie_1,3225.0
2014-05-26,serie_2,1096.0
2014-05-27,serie_1,2869.0
2014-05-27,serie_2,1038.0
2014-05-28,serie_1,3370.0
2014-05-28,serie_2,1090.0
2014-05-29,serie_1,1340.0
2014-05-29,serie_2,414.0
2014-05-30,serie_1,2769.0
2014-05-30,serie_2,980.0
2014-05-31,serie_1,497.0
2014-05-31,serie_2,150.0
2014-06-01,serie_1,3228.0
2014-06-01,serie_2,1046.0
2014-06-02,serie_1,3881.0
2014-06-02,serie_2,1300.0
2014-06-03,serie_1,2919.0
2014-06-03,serie_2,953.0
2014-06-04,serie_1,2727.0
2014-06-04,serie_2,843.0
2014-06-05,serie_1,2564.0
2014-06-05,serie_2,826.0
2014-06-06,serie_1,2598.0
2014-06-06,serie_2,804.0
2014-06-07,serie_1,-332.0
2014-06-07,serie_2,20.0
2014-06-08,serie_1,811.0
2014-06-08,serie_2,273.0
2014-06-09,serie_1,2951.0
2014-06-09,serie_2,903.0
2014-06-10,serie_1,2876.0
2014-06-10,serie_2,826.0
2014-06-11,serie_1,3504.0
2014-06-11,serie_2,1156.0
2014-06-12,serie_1,3247.0
2014-06-12,serie_2,1030.0
2014-06-13,serie_1,2281.0
2014-06-13,serie_2,750.0
2014-06-14,serie_1,299.0
2014-06-14,serie_2,111.0
2014-06-15,serie_1,1860.0
2014-06-15,serie_2,720.0
2014-06-16,serie_1,3144.0
2014-06-16,serie_2,967.0
2014-06-17,serie_1,3098.0
2014-06-17,serie_2,981.0
2014-06-18,serie_1,2673.0
2014-06-18,serie_2,952.0
2014-06-19,serie_1,2493.0
2014-06-19,serie_2,846.0
2014-06-20,serie_1,2121.0
2014-06-20,serie_2,733.0
2014-06-21,serie_1,1187.0
2014-06-21,serie_2,443.0
2014-06-22,serie_1,2406.0
2014-06-22,serie_2,804.0
2014-06-23,serie_1,3679.0
2014-06-23,serie_2,1251.0
2014-06-24,serie_1,2533.0
2014-06-24,serie_2,912.0
2014-06-25,serie_1,2794.0
2014-06-25,serie_2,1044.0
2014-06-26,serie_1,2794.0
2014-06-26,serie_2,1008.0
2014-06-27,serie_1,2233.0
2014-06-27,serie_2,799.0
2014-06-28,serie_1,162.0
2014-06-28,serie_2,94.0
2014-06-29,serie_1,2992.0
2014-06-29,serie_2,1078.0
2014-06-30,serie_1,3023.0
2014-06-30,serie_2,1124.0
2014-07-01,serie_1,2862.0
2014-07-01,serie_2,1059.0
